source_file,frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,data
data/playground_someip_only.pcapng,"73","5.937269000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"74","5.942999000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"75","5.948862000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"76","5.954288000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"77","5.960074000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"78","5.965792000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"79","5.971633000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"80","5.977794000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"81","5.983642000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"82","5.989764000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"83","5.995475000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"84","6.101540000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x0000800a","0x00000000","0x00000277","0x00000002","0x00000000",
data/playground_someip_only.pcapng,"85","8.001011000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"86","8.006980000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"87","8.012818000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"88","8.018730000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"89","8.024211000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"90","8.030017000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"91","8.035302000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"92","8.040830000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"93","8.046115000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"94","8.051620000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"95","8.056879000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"96","8.062468000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"97","8.067740000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"98","8.073209000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"99","8.078450000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"100","8.083912000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"101","8.089237000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"102","8.094723000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"103","8.100044000","192.168.40.135","192.168.40.134","59483","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"104","8.105486000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"105","8.663979000","192.168.40.134","192.168.40.135","31000","59483","0x0000ff40","0x0000800a","0x00000000","0x0000027c","0x00000002","0x00000000",
data/playground_someip_only.pcapng,"106","10.000988000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"107","10.006509000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"108","10.011930000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"109","10.017507000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"110","10.022845000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"111","10.028429000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"112","10.033739000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"113","10.039338000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"114","10.044709000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"115","10.050339000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"116","10.055625000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"117","10.061304000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"118","10.066709000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"119","10.072330000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"120","10.077694000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"121","10.083359000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"122","10.089207000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"123","10.094913000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"124","10.100823000","192.168.40.135","192.168.40.134","52600","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"125","10.106494000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"126","10.604244000","192.168.40.134","192.168.40.135","31000","52600","0x0000ff40","0x0000800a","0x00000000","0x00000280","0x00000002","0x00000000",
data/playground_someip_only.pcapng,"127","12.001704000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"128","12.007474000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"129","12.012825000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"130","12.018660000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"131","12.023997000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"132","12.029922000","192.168.40.134","192.168.40.135","31000","45827","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"133","12.035272000","192.168.40.135","192.168.40.134","45827","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
